date;value
09.05.2016;1201
10.05.2016;2329
11.05.2016;1716
12.05.2016;10539
13.05.2016;6933
14.05.2016;3127
15.05.2016;2927
16.05.2016;2591
17.05.2016;3403
18.05.2016;5410
19.05.2016;19736
20.05.2016;17491
21.05.2016;13370
22.05.2016;13158
23.05.2016;13887
24.05.2016;15336
25.05.2016;14779
26.05.2016;18060
27.05.2016;19997
28.05.2016;19044
29.05.2016;20325
30.05.2016;16607
31.05.2016;16616
01.06.2016;13007
02.06.2016;10329
03.06.2016;10155
04.06.2016;7431
05.06.2016;16031
06.06.2016;16621
07.06.2016;18335
08.06.2016;18072
09.06.2016;18139
10.06.2016;17087
11.06.2016;16098
12.06.2016;16147
13.06.2016;17570
14.06.2016;19395
15.06.2016;18584
16.06.2016;17628
17.06.2016;21691
18.06.2016;21681
19.06.2016;19204
20.06.2016;28508
21.06.2016;26805
22.06.2016;21424
23.06.2016;19820
24.06.2016;19230
25.06.2016;21923
26.06.2016;22685
27.06.2016;24278
28.06.2016;21423
29.06.2016;27734
30.06.2016;26696
01.07.2016;28372
02.07.2016;26393
03.07.2016;27011
04.07.2016;24236
05.07.2016;23843
06.07.2016;24374
07.07.2016;28507
08.07.2016;31184
09.07.2016;27404
10.07.2016;26079
11.07.2016;20339
12.07.2016;21510
13.07.2016;20391
14.07.2016;23278
15.07.2016;22815
16.07.2016;20261
17.07.2016;20331
18.07.2016;19703
19.07.2016;15445
20.07.2016;22046
21.07.2016;27290
22.07.2016;28662
23.07.2016;25053
24.07.2016;19733
25.07.2016;25646
26.07.2016;19637
27.07.2016;23587
28.07.2016;25719
29.07.2016;21667
30.07.2016;16002
31.07.2016;16223
01.08.2016;20947
02.08.2016;20345
03.08.2016;24118
04.08.2016;24951
05.08.2016;27880
06.08.2016;20900
07.08.2016;23536
08.08.2016;24471
09.08.2016;24828
10.08.2016;31583
11.08.2016;30393
12.08.2016;29488
13.08.2016;26206
14.08.2016;29686
15.08.2016;32229
16.08.2016;34396
17.08.2016;43003
18.08.2016;35206
19.08.2016;32362
20.08.2016;37583
21.08.2016;36559
22.08.2016;36701
23.08.2016;32726
24.08.2016;29315
25.08.2016;32786
26.08.2016;35489
27.08.2016;36366
28.08.2016;33765
29.08.2016;36915
30.08.2016;39619
31.08.2016;38173
01.09.2016;40709
02.09.2016;37609
03.09.2016;30250
04.09.2016;36077
05.09.2016;35320
06.09.2016;39098
07.09.2016;43401
08.09.2016;40258
09.09.2016;44787
10.09.2016;44586
11.09.2016;39262
12.09.2016;42667
13.09.2016;49746
14.09.2016;43645
15.09.2016;38780
16.09.2016;36125
17.09.2016;31797
18.09.2016;32304
19.09.2016;36840
20.09.2016;37441
21.09.2016;38492
22.09.2016;38324
23.09.2016;44985
24.09.2016;37708
25.09.2016;39081
26.09.2016;41089
27.09.2016;41296
28.09.2016;53158
29.09.2016;70669
30.09.2016;58802
01.10.2016;49179
02.10.2016;44043
03.10.2016;32660
04.10.2016;41797
05.10.2016;39348
06.10.2016;23874
07.10.2016;25963
08.10.2016;23848
09.10.2016;23573
10.10.2016;27459
11.10.2016;27601
12.10.2016;26521
13.10.2016;24865
14.10.2016;24934
15.10.2016;20609
16.10.2016;22301
17.10.2016;26623
18.10.2016;25319
19.10.2016;29076
20.10.2016;23217
21.10.2016;22343
22.10.2016;19571
23.10.2016;20457
24.10.2016;25670
25.10.2016;27317
26.10.2016;26489
27.10.2016;27207
28.10.2016;23258
29.10.2016;22975
30.10.2016;24828
31.10.2016;26423
01.11.2016;25856
02.11.2016;26565
03.11.2016;30183
04.11.2016;28981
05.11.2016;25849
06.11.2016;25287
07.11.2016;27790
08.11.2016;26744
09.11.2016;25489
10.11.2016;117906
11.11.2016;159186
12.11.2016;33775
13.11.2016;22762
14.11.2016;24449
15.11.2016;30817
16.11.2016;33673
17.11.2016;35712
18.11.2016;50298
19.11.2016;42964
20.11.2016;47789
21.11.2016;52663
22.11.2016;51329
23.11.2016;48490
24.11.2016;46822
25.11.2016;29973
26.11.2016;25239
27.11.2016;27955
28.11.2016;31749
29.11.2016;29694
30.11.2016;27470
01.12.2016;32666
02.12.2016;36075
03.12.2016;31115
04.12.2016;23536
05.12.2016;25527
06.12.2016;28078
07.12.2016;31498
08.12.2016;28919
09.12.2016;27988
10.12.2016;25698
11.12.2016;28806
12.12.2016;31131
13.12.2016;32777
14.12.2016;32015
15.12.2016;42333
16.12.2016;28715
17.12.2016;23503
18.12.2016;23391
19.12.2016;28247
20.12.2016;29969
21.12.2016;28531
22.12.2016;29442
23.12.2016;24747
24.12.2016;20227
25.12.2016;19035
26.12.2016;23076
27.12.2016;25138
28.12.2016;28424
29.12.2016;27197
30.12.2016;24804
31.12.2016;20197
01.01.2017;26185
02.01.2017;28560
03.01.2017;31525
04.01.2017;28955
05.01.2017;35024
06.01.2017;37353
07.01.2017;33233
08.01.2017;30571
09.01.2017;32352
10.01.2017;33550
11.01.2017;35142
12.01.2017;30960
13.01.2017;33266
14.01.2017;34418
15.01.2017;26987
16.01.2017;37466
17.01.2017;32119
18.01.2017;30628
19.01.2017;32362
20.01.2017;30079
21.01.2017;29555
22.01.2017;33041
23.01.2017;37958
24.01.2017;33083
25.01.2017;31990
26.01.2017;32775
27.01.2017;29665
28.01.2017;28045
29.01.2017;55875
30.01.2017;32284
31.01.2017;31334
01.02.2017;30124
02.02.2017;31924
03.02.2017;27526
04.02.2017;24955
05.02.2017;30714
06.02.2017;33347
07.02.2017;37804
08.02.2017;33664
09.02.2017;36645
10.02.2017;29067
11.02.2017;24300
12.02.2017;29004
13.02.2017;32764
14.02.2017;33632
15.02.2017;30330
16.02.2017;30942
17.02.2017;28747
18.02.2017;26708
19.02.2017;26266
20.02.2017;37017
21.02.2017;32837
22.02.2017;36489
23.02.2017;33894
24.02.2017;33952
25.02.2017;28785
26.02.2017;27813
27.02.2017;31283
28.02.2017;30633
01.03.2017;33258
02.03.2017;29234
03.03.2017;28912
04.03.2017;23709
05.03.2017;23970
06.03.2017;31878
07.03.2017;30962
08.03.2017;29290
09.03.2017;28652
10.03.2017;27218
11.03.2017;25319
12.03.2017;26416
13.03.2017;28475
14.03.2017;31696
15.03.2017;31997
16.03.2017;30443
17.03.2017;28411
18.03.2017;23845
19.03.2017;25132
20.03.2017;29705
21.03.2017;26941
22.03.2017;34204
23.03.2017;31416
24.03.2017;30360
25.03.2017;25596
26.03.2017;36487
27.03.2017;35773
28.03.2017;30866
29.03.2017;29235
30.03.2017;30333
31.03.2017;30709
01.04.2017;23762
02.04.2017;24969
03.04.2017;33614
04.04.2017;35923
05.04.2017;31198
06.04.2017;32455
07.04.2017;28156
08.04.2017;24879
09.04.2017;23871
10.04.2017;30624
11.04.2017;33896
12.04.2017;31360
13.04.2017;27592
14.04.2017;31720
15.04.2017;27999
16.04.2017;27037
17.04.2017;31801
18.04.2017;30731
19.04.2017;56682
20.04.2017;32813
21.04.2017;28301
22.04.2017;25124
23.04.2017;24741
24.04.2017;36291
25.04.2017;32177
26.04.2017;30675
27.04.2017;51977
28.04.2017;26987
29.04.2017;23219
30.04.2017;25788
01.05.2017;30580
02.05.2017;30175
03.05.2017;29907
04.05.2017;32716
05.05.2017;32642
06.05.2017;28752
07.05.2017;25898
08.05.2017;39028
09.05.2017;46944
10.05.2017;39860
11.05.2017;46743
12.05.2017;29197
13.05.2017;26105
14.05.2017;28039
15.05.2017;35563
16.05.2017;35443
17.05.2017;35114
18.05.2017;37373
19.05.2017;31868
20.05.2017;30077
21.05.2017;25970
22.05.2017;32100
23.05.2017;35395
24.05.2017;39844
25.05.2017;44889
26.05.2017;39374
27.05.2017;26679
28.05.2017;26758
29.05.2017;32635
30.05.2017;37686
31.05.2017;48219
01.06.2017;43336
02.06.2017;50825
03.06.2017;44143
04.06.2017;44193
05.06.2017;56336
06.06.2017;47989
07.06.2017;47885
08.06.2017;43983
09.06.2017;44776
10.06.2017;42018
11.06.2017;34311
12.06.2017;39694
13.06.2017;41098
14.06.2017;38289
15.06.2017;35351
16.06.2017;39123
17.06.2017;40941
18.06.2017;33112
19.06.2017;38418
20.06.2017;45829
21.06.2017;42424
22.06.2017;54267
23.06.2017;38842
24.06.2017;40668
25.06.2017;46618
26.06.2017;43904
27.06.2017;46568
28.06.2017;52375
29.06.2017;41553
30.06.2017;48456
01.07.2017;37928
02.07.2017;47547
03.07.2017;78839
04.07.2017;82957
05.07.2017;79604
06.07.2017;70436
07.07.2017;55682
08.07.2017;47133
09.07.2017;52715
10.07.2017;60916
11.07.2017;58470
12.07.2017;67336
13.07.2017;72532
14.07.2017;78133
15.07.2017;75974
16.07.2017;77304
17.07.2017;74115
18.07.2017;78235
19.07.2017;83925
20.07.2017;62996
21.07.2017;65973
22.07.2017;60364
23.07.2017;57083
24.07.2017;63076
25.07.2017;78896
26.07.2017;61290
27.07.2017;68910
28.07.2017;77848
29.07.2017;57041
30.07.2017;44213
31.07.2017;62541
01.08.2017;46685
02.08.2017;51019
03.08.2017;49166
04.08.2017;56280
05.08.2017;44482
06.08.2017;42476
07.08.2017;47298
08.08.2017;47995
09.08.2017;46436
10.08.2017;43221
11.08.2017;48098
12.08.2017;43524
13.08.2017;40913
14.08.2017;48547
15.08.2017;49134
16.08.2017;50398
17.08.2017;55424
18.08.2017;51828
19.08.2017;41340
20.08.2017;45547
21.08.2017;61318
22.08.2017;54247
23.08.2017;54941
24.08.2017;38833
25.08.2017;37208
26.08.2017;39073
27.08.2017;40359
28.08.2017;55006
29.08.2017;52121
30.08.2017;48375
31.08.2017;47794
01.09.2017;47939
02.09.2017;40430
03.09.2017;28497
04.09.2017;51281
05.09.2017;52076
06.09.2017;53952
07.09.2017;54945
08.09.2017;48839
09.09.2017;44404
10.09.2017;48150
11.09.2017;56383
12.09.2017;52978
13.09.2017;52552
14.09.2017;52044
15.09.2017;50138
16.09.2017;42710
17.09.2017;42071
18.09.2017;58878
19.09.2017;51861
20.09.2017;51792
21.09.2017;48664
22.09.2017;43914
23.09.2017;39859
24.09.2017;37368
25.09.2017;46807
26.09.2017;50268
27.09.2017;48480
28.09.2017;45651
29.09.2017;43654
30.09.2017;34719
01.10.2017;38835
02.10.2017;46391
03.10.2017;50398
04.10.2017;50115
05.10.2017;57123
06.10.2017;50828
07.10.2017;40829
08.10.2017;39843
09.10.2017;48588
10.10.2017;50863
11.10.2017;46741
12.10.2017;51448
13.10.2017;50295
14.10.2017;42956
15.10.2017;39388
16.10.2017;48393
17.10.2017;52093
18.10.2017;50482
19.10.2017;56418
20.10.2017;44474
21.10.2017;42741
22.10.2017;46446
23.10.2017;50884
24.10.2017;55085
25.10.2017;50914
26.10.2017;48182
27.10.2017;46141
28.10.2017;39823
29.10.2017;39452
30.10.2017;48468
31.10.2017;45963
01.11.2017;45771
02.11.2017;54769
03.11.2017;54387
04.11.2017;43141
05.11.2017;43411
06.11.2017;55505
07.11.2017;55343
08.11.2017;49695
09.11.2017;56215
10.11.2017;59465
11.11.2017;41105
12.11.2017;53562
13.11.2017;56598
14.11.2017;58650
15.11.2017;57976
16.11.2017;61562
17.11.2017;54098
18.11.2017;45065
19.11.2017;48547
20.11.2017;55367
21.11.2017;56693
22.11.2017;136744
23.11.2017;113149
24.11.2017;59697
25.11.2017;42161
26.11.2017;45100
27.11.2017;55855
28.11.2017;54324
29.11.2017;56843
30.11.2017;60249
01.12.2017;58830
02.12.2017;34791
03.12.2017;34841
04.12.2017;52880
05.12.2017;60788
06.12.2017;60358
07.12.2017;55929
08.12.2017;44714
09.12.2017;41348
10.12.2017;40424
11.12.2017;53151
12.12.2017;51780
13.12.2017;57092
14.12.2017;48394
15.12.2017;46097
16.12.2017;48136
17.12.2017;37655
18.12.2017;49015
19.12.2017;55850
20.12.2017;48414
21.12.2017;51137
22.12.2017;45127
23.12.2017;34257
24.12.2017;36708
25.12.2017;49542
26.12.2017;44083
27.12.2017;43075
28.12.2017;51018
29.12.2017;72819
30.12.2017;50169
31.12.2017;42616
01.01.2018;41810
02.01.2018;51362
03.01.2018;56013
04.01.2018;58910
05.01.2018;58239
06.01.2018;41870
07.01.2018;42981
08.01.2018;62887
09.01.2018;60260
10.01.2018;106349
11.01.2018;77030
12.01.2018;53781
13.01.2018;42621
14.01.2018;43990
15.01.2018;59119
16.01.2018;63272
17.01.2018;60159
18.01.2018;64068
19.01.2018;61345
20.01.2018;50553
21.01.2018;46436
22.01.2018;63084
23.01.2018;62758
24.01.2018;61700
25.01.2018;65438
26.01.2018;56792
27.01.2018;48186
28.01.2018;49485
29.01.2018;66609
30.01.2018;77144
31.01.2018;61732
01.02.2018;65803
02.02.2018;59272
03.02.2018;45779
04.02.2018;29872
05.02.2018;76073
06.02.2018;77059
07.02.2018;74939
08.02.2018;75397
09.02.2018;71514
10.02.2018;51208
11.02.2018;52371
12.02.2018;76738
13.02.2018;74967
14.02.2018;66850
15.02.2018;70090
16.02.2018;68310
17.02.2018;56257
18.02.2018;53798
19.02.2018;67406
20.02.2018;72493
21.02.2018;82716
22.02.2018;84685
23.02.2018;68160
24.02.2018;51002
25.02.2018;50945
26.02.2018;69180
27.02.2018;75783
28.02.2018;70345
01.03.2018;66423
02.03.2018;62627
03.03.2018;48492
04.03.2018;53712
05.03.2018;65506
06.03.2018;88644
07.03.2018;76008
08.03.2018;67376
09.03.2018;63935
10.03.2018;52913
11.03.2018;49759
12.03.2018;66045
13.03.2018;70428
14.03.2018;66001
15.03.2018;66800
16.03.2018;60562
17.03.2018;48609
18.03.2018;48808
19.03.2018;64044
20.03.2018;65209
21.03.2018;68532
22.03.2018;71059
23.03.2018;65798
24.03.2018;48873
25.03.2018;51219
26.03.2018;68186
27.03.2018;70345
28.03.2018;68748
29.03.2018;68853
30.03.2018;58890
31.03.2018;51103
01.04.2018;56224
02.04.2018;66957
03.04.2018;70500
04.04.2018;71217
05.04.2018;71640
06.04.2018;65494
07.04.2018;52642
08.04.2018;49394
09.04.2018;67122
10.04.2018;67930
11.04.2018;66601
12.04.2018;88232
13.04.2018;65620
14.04.2018;46493
15.04.2018;50303
16.04.2018;70225
17.04.2018;70814
18.04.2018;67661
19.04.2018;65526
20.04.2018;68599
21.04.2018;53931
22.04.2018;53319
23.04.2018;68490
24.04.2018;68477
25.04.2018;68962
26.04.2018;64760
27.04.2018;56276
28.04.2018;42883
29.04.2018;42861
30.04.2018;51372
01.05.2018;56905
02.05.2018;56834
03.05.2018;64835
04.05.2018;56420
05.05.2018;44898
06.05.2018;43602
07.05.2018;55713
08.05.2018;57836
09.05.2018;54817
10.05.2018;65517
11.05.2018;59600
12.05.2018;40878
13.05.2018;46586
14.05.2018;55193
15.05.2018;59453
16.05.2018;56362
17.05.2018;58871
18.05.2018;59496
19.05.2018;44562
20.05.2018;48197
21.05.2018;57575
22.05.2018;59419
23.05.2018;63881
24.05.2018;72924
25.05.2018;49617
26.05.2018;42533
27.05.2018;43357
28.05.2018;53397
29.05.2018;58201
30.05.2018;69592
31.05.2018;96378
01.06.2018;72946
02.06.2018;58104
03.06.2018;56734
04.06.2018;74785
05.06.2018;130604
06.06.2018;70775
07.06.2018;69192
08.06.2018;64313
09.06.2018;56129
10.06.2018;60222
11.06.2018;71665
12.06.2018;72167
13.06.2018;70514
14.06.2018;68685
15.06.2018;58703
16.06.2018;50098
17.06.2018;52736
18.06.2018;80955
19.06.2018;77413
20.06.2018;83183
21.06.2018;81671
22.06.2018;66745
23.06.2018;72015
24.06.2018;68024
25.06.2018;80403
26.06.2018;81573
27.06.2018;69363
28.06.2018;63678
29.06.2018;66111
30.06.2018;54004
01.07.2018;44552
02.07.2018;61693
03.07.2018;65394
04.07.2018;63630
05.07.2018;74420
06.07.2018;62313
07.07.2018;54111
08.07.2018;51703
09.07.2018;62304
10.07.2018;90831
11.07.2018;71342
12.07.2018;64328
13.07.2018;60919
14.07.2018;49131
15.07.2018;50575
16.07.2018;63715
17.07.2018;71926
18.07.2018;65871
19.07.2018;63196
20.07.2018;64881
21.07.2018;54481
22.07.2018;54784
23.07.2018;70218
24.07.2018;73937
25.07.2018;95611
26.07.2018;96264
27.07.2018;57272
28.07.2018;44523
29.07.2018;44070
30.07.2018;60989
31.07.2018;62339
01.08.2018;63520
02.08.2018;63268
03.08.2018;62227
04.08.2018;46947
05.08.2018;42650
06.08.2018;63159
07.08.2018;67216
08.08.2018;72890
09.08.2018;71460
10.08.2018;71279
11.08.2018;55241
12.08.2018;52774
13.08.2018;66145
14.08.2018;66222
15.08.2018;67895
16.08.2018;61577
17.08.2018;59822
18.08.2018;52645
19.08.2018;58069
20.08.2018;71289
21.08.2018;68729
22.08.2018;67580
23.08.2018;66574
24.08.2018;62847
25.08.2018;51910
26.08.2018;49398
27.08.2018;63821
28.08.2018;63969
29.08.2018;63573
30.08.2018;75250
31.08.2018;77834
01.09.2018;47114
02.09.2018;46875
03.09.2018;67138
04.09.2018;72182
05.09.2018;76418
06.09.2018;79476
07.09.2018;78279
08.09.2018;72950
09.09.2018;56988
10.09.2018;79179
11.09.2018;88013
12.09.2018;73528
13.09.2018;77145
14.09.2018;66614
15.09.2018;56505
16.09.2018;50128
17.09.2018;64325
18.09.2018;68692
19.09.2018;71498
20.09.2018;68598
21.09.2018;68987
22.09.2018;50512
23.09.2018;56152
24.09.2018;70468
25.09.2018;64054
26.09.2018;69501
27.09.2018;67876
28.09.2018;72233
29.09.2018;52292
30.09.2018;44532
01.10.2018;25830
02.10.2018;10099
03.10.2018;62166
04.10.2018;83869
05.10.2018;86759
06.10.2018;59515
07.10.2018;87863
08.10.2018;120741
09.10.2018;131815
10.10.2018;153341
11.10.2018;163758
12.10.2018;176175
13.10.2018;168644
14.10.2018;184018
15.10.2018;174639
16.10.2018;177647
17.10.2018;169915
18.10.2018;155078
19.10.2018;149940
20.10.2018;92549
21.10.2018;80661
22.10.2018;80458
23.10.2018;105987
24.10.2018;138476
25.10.2018;140264
26.10.2018;100213
27.10.2018;65391
28.10.2018;61406
29.10.2018;76625
30.10.2018;97815
31.10.2018;108695
01.11.2018;85861
02.11.2018;73794
03.11.2018;62830
04.11.2018;62538
05.11.2018;79117
06.11.2018;83775
07.11.2018;84770
08.11.2018;105849
09.11.2018;76395
10.11.2018;64975
11.11.2018;58481
12.11.2018;80567
13.11.2018;91368
14.11.2018;90488
15.11.2018;76911
16.11.2018;80870
17.11.2018;61170
18.11.2018;66269
19.11.2018;92083
20.11.2018;90130
21.11.2018;77632
22.11.2018;78076
23.11.2018;75398
24.11.2018;64116
25.11.2018;62559
26.11.2018;77084
27.11.2018;93864
28.11.2018;88667
29.11.2018;92368
30.11.2018;82645
01.12.2018;62373
02.12.2018;73710
03.12.2018;96254
04.12.2018;96984
05.12.2018;96559
06.12.2018;89751
07.12.2018;86705
08.12.2018;72606
09.12.2018;70190
10.12.2018;74469
11.12.2018;81153
12.12.2018;83163
13.12.2018;89445
14.12.2018;83384
15.12.2018;79467
16.12.2018;77869
17.12.2018;98436
18.12.2018;96231
19.12.2018;92070
20.12.2018;90449
21.12.2018;85083
22.12.2018;70392
23.12.2018;69765
24.12.2018;69618
25.12.2018;74671
26.12.2018;76754
27.12.2018;80703
28.12.2018;73629
29.12.2018;66282
30.12.2018;62826
31.12.2018;60481
01.01.2019;58508
02.01.2019;109708
03.01.2019;100710
04.01.2019;94514
05.01.2019;77897
06.01.2019;94108
07.01.2019;94715
08.01.2019;105928
09.01.2019;106576
10.01.2019;111328
11.01.2019;120991
12.01.2019;110775
13.01.2019;97243
14.01.2019;114139
15.01.2019;112172
16.01.2019;113433
17.01.2019;105912
18.01.2019;106513
19.01.2019;79858
20.01.2019;78679
21.01.2019;103240
22.01.2019;106126
23.01.2019;119710
24.01.2019;114541
25.01.2019;119836
26.01.2019;78342
27.01.2019;86596
28.01.2019;111784
29.01.2019;107881
30.01.2019;106844
31.01.2019;115145
01.02.2019;99156
02.02.2019;71654
03.02.2019;104287
04.02.2019;97713
05.02.2019;107855
06.02.2019;120854
07.02.2019;107973
08.02.2019;101730
09.02.2019;118356
10.02.2019;78137
11.02.2019;113240
12.02.2019;118410
13.02.2019;122283
14.02.2019;134772
15.02.2019;123318
16.02.2019;111750
17.02.2019;98067
18.02.2019;112632
19.02.2019;106237
20.02.2019;120747
21.02.2019;114251
22.02.2019;102341
23.02.2019;86657
24.02.2019;81696
25.02.2019;99292
26.02.2019;108135
27.02.2019;102492
28.02.2019;103079
01.03.2019;92662
02.03.2019;75072
03.03.2019;76810
04.03.2019;104991
05.03.2019;113300
06.03.2019;99434
07.03.2019;96024
08.03.2019;91932
09.03.2019;65607
10.03.2019;68218
11.03.2019;100407
12.03.2019;92674
13.03.2019;97029
14.03.2019;107248
15.03.2019;102519
16.03.2019;80095
17.03.2019;66368
18.03.2019;101569
19.03.2019;98515
20.03.2019;95566
21.03.2019;83454
22.03.2019;92856
23.03.2019;59222
24.03.2019;64835
25.03.2019;94751
26.03.2019;106366
27.03.2019;97418
28.03.2019;113353
29.03.2019;134753
30.03.2019;83480
31.03.2019;71121
01.04.2019;98719
02.04.2019;93282
03.04.2019;98107
04.04.2019;112045
05.04.2019;110418
06.04.2019;80815
07.04.2019;64028
08.04.2019;89370
09.04.2019;92505
10.04.2019;92153
11.04.2019;97584
12.04.2019;92058
13.04.2019;93224
14.04.2019;75554
15.04.2019;92015
16.04.2019;98066
17.04.2019;100099
18.04.2019;86821
19.04.2019;73030
20.04.2019;131100
21.04.2019;75644
22.04.2019;81984
23.04.2019;97791
24.04.2019;91681
25.04.2019;87451
26.04.2019;79416
27.04.2019;61038
28.04.2019;57724
29.04.2019;80832
30.04.2019;96499
01.05.2019;91566
02.05.2019;105923
03.05.2019;100673
04.05.2019;62282
05.05.2019;86542
06.05.2019;83274
07.05.2019;85039
08.05.2019;92181
09.05.2019;91506
10.05.2019;86823
11.05.2019;89641
12.05.2019;65338
13.05.2019;90475
14.05.2019;106162
15.05.2019;104193
16.05.2019;94579
17.05.2019;101725
18.05.2019;86865
19.05.2019;101164
20.05.2019;92125
21.05.2019;93848
22.05.2019;106702
23.05.2019;86054
24.05.2019;83585
25.05.2019;67210
26.05.2019;67965
27.05.2019;106559
28.05.2019;99094
29.05.2019;100021
30.05.2019;102705
31.05.2019;102818
01.06.2019;71713
02.06.2019;80399
03.06.2019;102453
04.06.2019;106321
05.06.2019;102191
06.06.2019;106048
07.06.2019;104623
08.06.2019;61504
09.06.2019;75791
10.06.2019;98910
11.06.2019;102190
12.06.2019;107613
13.06.2019;99938
14.06.2019;81671
15.06.2019;63355
16.06.2019;69442
17.06.2019;1173655
18.06.2019;1166225
19.06.2019;102231
20.06.2019;105359
21.06.2019;101275
22.06.2019;72492
23.06.2019;83188
24.06.2019;107207
25.06.2019;107039
26.06.2019;95900
27.06.2019;107290
28.06.2019;87190
29.06.2019;63622
30.06.2019;65243
01.07.2019;97699
02.07.2019;97183
03.07.2019;91528
04.07.2019;87225
05.07.2019;131213
06.07.2019;66995
07.07.2019;71811
08.07.2019;97352
09.07.2019;117078
10.07.2019;207841
11.07.2019;111793
12.07.2019;112038
13.07.2019;70150
14.07.2019;68169
15.07.2019;107960
16.07.2019;107007
17.07.2019;129677
18.07.2019;127187
19.07.2019;102631
20.07.2019;75436
21.07.2019;70848
22.07.2019;107960
23.07.2019;110464
24.07.2019;121716
25.07.2019;100948
26.07.2019;91195
27.07.2019;68741
28.07.2019;70696
29.07.2019;100947
30.07.2019;104442
31.07.2019;99008
01.08.2019;103424
02.08.2019;93270
03.08.2019;151671
04.08.2019;145731
05.08.2019;105386
06.08.2019;337325
07.08.2019;341595
08.08.2019;99495
09.08.2019;93534
10.08.2019;65534
11.08.2019;62891
12.08.2019;87424
13.08.2019;100304
14.08.2019;105699
15.08.2019;85475
16.08.2019;96934
17.08.2019;55069
18.08.2019;84197
19.08.2019;119860
20.08.2019;114539
21.08.2019;118384
22.08.2019;140928
23.08.2019;103203
24.08.2019;80988
25.08.2019;80635
26.08.2019;130151
27.08.2019;122564
28.08.2019;116142
29.08.2019;94855
30.08.2019;98117
31.08.2019;122398
01.09.2019;69977
02.09.2019;85331
03.09.2019;102896
04.09.2019;106868
05.09.2019;102307
06.09.2019;91461
07.09.2019;61628
08.09.2019;98955
09.09.2019;174212
10.09.2019;95371
11.09.2019;97140
12.09.2019;101739
13.09.2019;91749
14.09.2019;65897
15.09.2019;66924
16.09.2019;93719
17.09.2019;116171
18.09.2019;106662
19.09.2019;106773
20.09.2019;91165
21.09.2019;61998
22.09.2019;63127
23.09.2019;105193
24.09.2019;106773
25.09.2019;130091
26.09.2019;146917
27.09.2019;105245
28.09.2019;71045
29.09.2019;93493
30.09.2019;107238
01.10.2019;107202
02.10.2019;99416
03.10.2019;98737
04.10.2019;91873
05.10.2019;78400
06.10.2019;76252
07.10.2019;114746
08.10.2019;121411
09.10.2019;121069
10.10.2019;129971
11.10.2019;157475
12.10.2019;147056
13.10.2019;116148
14.10.2019;118108
15.10.2019;131170
16.10.2019;185784
17.10.2019;169663
18.10.2019;160650
19.10.2019;116900
20.10.2019;120460
21.10.2019;208036
22.10.2019;229870
23.10.2019;273708
24.10.2019;255178
25.10.2019;176921
26.10.2019;118564
27.10.2019;129458
28.10.2019;209661
29.10.2019;211967
30.10.2019;210925
31.10.2019;189965
01.11.2019;168513
02.11.2019;118347
03.11.2019;130118
04.11.2019;201791
05.11.2019;208234
06.11.2019;194616
07.11.2019;200462
08.11.2019;177588
09.11.2019;115642
10.11.2019;117717
11.11.2019;212058
12.11.2019;206488
13.11.2019;195023
14.11.2019;196477
15.11.2019;314101
16.11.2019;125634
17.11.2019;131639
18.11.2019;221181
19.11.2019;221555
20.11.2019;151733
21.11.2019;169121
22.11.2019;204015
23.11.2019;146658
24.11.2019;138875
25.11.2019;219608
26.11.2019;220590
27.11.2019;208223
28.11.2019;202049
29.11.2019;171584
30.11.2019;141161
01.12.2019;142918
02.12.2019;220144
03.12.2019;158549
